Y,Trt,Time,X_1,X_2,X_3,ID
13.61610794,1,0,9.40244723,2.642622396,0.49783513,260690
10.87852287,1,1,9.405578154,2.642622396,0.49783513,260690
15.55224419,1,0,9.974691312,2.781300663,0.499240082,260700
15.31868362,1,1,10.01565485,2.781300663,0.499240082,260700
12.70815086,1,0,8.425954711,2.91506437,0.490658363,260710
14.27316666,1,1,8.422662708,2.91506437,0.490658363,260710
17.57731819,1,0,11.40379117,5.019859289,0.505313938,260720
17.09981918,1,1,11.43997836,5.019859289,0.505313938,260720
17.35010338,1,0,10.2866048,3.48553853,0.507290185,260730
18.9421978,1,1,10.3119814,3.48553853,0.507290185,260730
17.22671127,1,0,8.455743229,2.318458442,0.511329824,260740
16.8314743,1,1,8.477828468,2.318458442,0.511329824,260740
13.30309868,1,0,10.18338944,3.187591535,0.503275442,260750
12.30361557,1,1,10.17967886,3.187591535,0.503275442,260750
12.16216183,1,0,10.10315775,5.793562238,0.425881923,260760
12.73706245,1,1,10.14037621,5.793562238,0.425881923,260760
13.01745796,1,0,10.49844291,4.754710253,0.506073789,260765
12.04653168,1,1,10.49954547,4.754710253,0.506073789,260765
14.50635147,1,0,9.536473631,3.534853766,0.506519703,260770
13.56743813,1,1,9.525734883,3.534853766,0.506519703,260770
14.2274828,1,0,10.1469826,5.76891457,0.494846228,260775
14.1860466,1,1,10.16865558,5.76891457,0.494846228,260775
15.45002651,1,0,9.723104116,5.022102626,0.497705837,260780
12.47463322,1,1,9.729491244,5.022102626,0.497705837,260780
14.4189682,1,0,13.43128528,7.821266151,0.527085725,260790
12.94168186,1,1,13.44607598,7.821266151,0.527085725,260790
17.97637367,1,0,9.365804475,4.881892418,0.503956178,260795
20.40816307,1,1,9.362975618,4.881892418,0.503956178,260795
17.10777283,1,0,9.727704573,3.158276203,0.503129148,260800
12.87146378,1,1,9.737610048,3.158276203,0.503129148,260800
16.66092873,1,0,9.583626582,3.917010547,0.510348779,260805
14.60304356,1,1,9.59192254,3.917010547,0.510348779,260805
10.99439526,1,0,10.39369201,5.404207742,0.516312657,260810
9.288771629,1,1,10.41081707,5.404207742,0.516312657,260810
15.39612293,1,0,9.683027896,4.862831099,0.499144107,260820
16.60424423,1,1,9.68059397,4.862831099,0.499144107,260820
17.24602509,1,0,9.31766895,4.47642731,0.502829121,260825
16.25,1,1,9.329810872,4.47642731,0.502829121,260825
20.72502899,1,0,9.57685673,4.871679693,0.512367749,260830
16.93981552,1,1,9.590145733,4.871679693,0.512367749,260830
12.83323383,1,0,9.623575217,4.585783472,0.509456021,260840
14.17084122,1,1,9.630956784,4.585783472,0.509456021,260840
13.74072361,1,0,9.755451474,5.437078809,0.509339664,260845
12.37538719,1,1,9.778717666,5.437078809,0.509339664,260845
18.59086037,1,0,9.963970988,5.887907959,0.512561111,260850
15.69622612,1,1,9.966837868,5.887907959,0.512561111,260850
12.4422884,1,0,9.455558478,4.111529387,0.507912957,260860
12.4378109,1,1,9.468928284,4.111529387,0.507912957,260860
11.90254784,1,0,9.688498165,4.249352018,0.498879283,260870
10.89108944,1,1,9.692149047,4.249352018,0.498879283,260870
15.48329067,1,0,10.10553003,2.508785924,0.502768014,260875
14.4213295,1,1,10.12783038,2.508785924,0.502768014,260875
18.15049934,1,0,10.56867241,5.26631057,0.52446216,260880
